Course Code,Course Title,Units,Status,Department,Level,Semester
CSC 101,Introduction to Computer Science,3,C,Computer Science,100,FIRST
GIT 101,Certified Secured Computer User I & II,0,C,IT General,100,FIRST
GST 101,Use of English I,2,C,General Studies,100,FIRST
GST 103,Nigerian Peoples and Culture,2,C,General Studies,100,FIRST
GST 105,Introduction to Philosophy and Logic,2,C,General Studies,100,FIRST
GST 109,A Study in Leadership I,1,C,General Studies,100,FIRST
MAT 101,Elementary Mathematics I,3,C,Mathematics,100,FIRST
PHY 101,General Physics I,3,C,Physics,100,FIRST
PHY 103,Experimental Physics I,1,C,Physics,100,FIRST
BIO 101,General Biology I,3,E,Biology,100,FIRST
BIO 107,Practical Biology I,1,E,Biology,100,FIRST
CHE 101,Physical Chemistry I,3,E,Chemistry,100,FIRST
CHE 191,Experimental Chemistry,1,E,Chemistry,100,FIRST
CSC 102,Introduction to Programming,3,C,Computer Science,100,SECOND
CSC 104,Computer System Design,3,C,Computer Science,100,SECOND
GIT 102,Certified Secured Computer User I & II,0,C,IT General,100,SECOND
GST 102,Use of English II,2,C,General Studies,100,SECOND
GST 104,Introductory Health Study,2,C,General Studies,100,SECOND
GST 110,A Study in Leadership II,1,C,General Studies,100,SECOND
INS 102,Introduction to Information Systems,2,C,Information Systems,100,SECOND
MAT 102,Elementary Mathematics II,3,C,Mathematics,100,SECOND
PHY 102,General Physics II,3,C,Physics,100,SECOND
PHY 104,Experimental Physics II,1,C,Physics,100,SECOND
CYB 102,Fundamentals of Cyber Security I,2,E,Cyber Security,100,SECOND
SEN 104,Introduction to Web Technologies,2,E,Software Engineering,100,SECOND
CSC 211,Computer Programming,3,C,Computer Science,200,FIRST
CSC 227,Computer Networks,2,C,Computer Science,200,FIRST
GIT 203,Oracle Database 11g: SQL Fundamental I & II,0,C,IT General,200,FIRST
GST 201,Entrepreneurial Skill Development I,2,C,General Studies,200,FIRST
GST 209,A Study in Leadership III,1,C,General Studies,200,FIRST
IFT 201,Introduction to Web Computing,3,C,Information Technology,200,FIRST
IFT 203,Fundamentals of Information Technology,2,C,Information Technology,200,FIRST
